행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,2021년12월_남_총인구수,2021년12월_남_연령구간인구수,2021년12월_남_0~9세,2021년12월_남_10~19세,2021년12월_남_20~29세,2021년12월_남_30~39세,2021년12월_남_40~49세,2021년12월_남_50~59세,2021년12월_남_60~69세,2021년12월_남_70~79세,2021년12월_남_80~89세,2021년12월_남_90~99세,2021년12월_남_100세 이상,2021년12월_여_총인구수,2021년12월_여_연령구간인구수,2021년12월_여_0~9세,2021년12월_여_10~19세,2021년12월_여_20~29세,2021년12월_여_30~39세,2021년12월_여_40~49세,2021년12월_여_50~59세,2021년12월_여_60~69세,2021년12월_여_70~79세,2021년12월_여_80~89세,2021년12월_여_90~99세,2021년12월_여_100세 이상
경기도 평택시 (4122000000),564288 ,564288 ,50065 ,54204 ,77667 ,86448 ,97562 ,91369 ,61059 ,28855 ,14963 ,2036 ,60 ,293954 ,293954 ,25414 ,27910 ,43129 ,47642 ,52317 ,48259 ,30727 ,12742 ,5332 ,470 ,12 ,270334 ,270334 ,24651 ,26294 ,34538 ,38806 ,45245 ,43110 ,30332 ,16113 ,9631 ,1566 ,48 
경기도 송탄출장소 (4122200000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경기도 안중출장소 (4122400000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경기도 동두천시 (4125000000),93592 ,93592 ,5830 ,8392 ,11053 ,10009 ,13815 ,16452 ,14139 ,8523 ,4755 ,603 ,21 ,46694 ,46694 ,2994 ,4214 ,5971 ,5248 ,7117 ,8676 ,6964 ,3605 ,1742 ,159 ,4 ,46898 ,46898 ,2836 ,4178 ,5082 ,4761 ,6698 ,7776 ,7175 ,4918 ,3013 ,444 ,17 
경기도 안산시 (4127000000),652726 ,652726 ,41776 ,61237 ,105330 ,85216 ,103891 ,128126 ,79223 ,30184 ,15378 ,2287 ,78 ,334646 ,334646 ,21370 ,31490 ,55970 ,46519 ,53374 ,65237 ,41419 ,13681 ,5089 ,482 ,15 ,318080 ,318080 ,20406 ,29747 ,49360 ,38697 ,50517 ,62889 ,37804 ,16503 ,10289 ,1805 ,63 
경기도 안산시 상록구 (4127100000),350668 ,350668 ,21870 ,33057 ,57795 ,43876 ,55489 ,69321 ,42156 ,16881 ,8853 ,1326 ,44 ,178943 ,178943 ,11174 ,16928 ,30744 ,23853 ,28364 ,35216 ,21929 ,7483 ,2938 ,306 ,8 ,171725 ,171725 ,10696 ,16129 ,27051 ,20023 ,27125 ,34105 ,20227 ,9398 ,5915 ,1020 ,36 
경기도 안산시 단원구 (4127300000),302058 ,302058 ,19906 ,28180 ,47535 ,41340 ,48402 ,58805 ,37067 ,13303 ,6525 ,961 ,34 ,155703 ,155703 ,10196 ,14562 ,25226 ,22666 ,25010 ,30021 ,19490 ,6198 ,2151 ,176 ,7 ,146355 ,146355 ,9710 ,13618 ,22309 ,18674 ,23392 ,28784 ,17577 ,7105 ,4374 ,785 ,27 
경기도 고양시 (4128000000),1079353 ,1079353 ,77938 ,102354 ,146570 ,142754 ,177365 ,197066 ,133115 ,61394 ,35438 ,5208 ,151 ,528094 ,528094 ,39711 ,52320 ,75061 ,71140 ,85933 ,96573 ,66719 ,26438 ,12827 ,1335 ,37 ,551259 ,551259 ,38227 ,50034 ,71509 ,71614 ,91432 ,100493 ,66396 ,34956 ,22611 ,3873 ,114 
경기도 고양시 덕양구 (4128100000),482927 ,482927 ,37138 ,41209 ,61897 ,69046 ,78294 ,84104 ,62484 ,30344 ,16125 ,2218 ,68 ,238375 ,238375 ,18931 ,21067 ,31961 ,34812 ,39201 ,41795 ,30997 ,13174 ,5865 ,557 ,15 ,244552 ,244552 ,18207 ,20142 ,29936 ,34234 ,39093 ,42309 ,31487 ,17170 ,10260 ,1661 ,53 
경기도 고양시 일산동구 (4128500000),298873 ,298873 ,19825 ,28709 ,43692 ,38249 ,49522 ,56499 ,36055 ,15423 ,9359 ,1504 ,36 ,145362 ,145362 ,10160 ,14724 ,22000 ,18880 ,23451 ,27436 ,18250 ,6693 ,3373 ,382 ,13 ,153511 ,153511 ,9665 ,13985 ,21692 ,19369 ,26071 ,29063 ,17805 ,8730 ,5986 ,1122 ,23 
경기도 고양시 일산서구 (4128700000),297553 ,297553 ,20975 ,32436 ,40981 ,35459 ,49549 ,56463 ,34576 ,15627 ,9954 ,1486 ,47 ,144357 ,144357 ,10620 ,16529 ,21100 ,17448 ,23281 ,27342 ,17472 ,6571 ,3589 ,396 ,9 ,153196 ,153196 ,10355 ,15907 ,19881 ,18011 ,26268 ,29121 ,17104 ,9056 ,6365 ,1090 ,38 
경기도 과천시 (4129000000),73345 ,73345 ,6488 ,7014 ,9710 ,10669 ,10892 ,12677 ,9288 ,4086 ,2115 ,394 ,12 ,36092 ,36092 ,3378 ,3588 ,5117 ,5310 ,5324 ,6103 ,4549 ,1832 ,786 ,102 ,3 ,37253 ,37253 ,3110 ,3426 ,4593 ,5359 ,5568 ,6574 ,4739 ,2254 ,1329 ,292 ,9 
경기도 구리시 (4131000000),191948 ,191948 ,13946 ,17311 ,25915 ,25118 ,31306 ,34889 ,26034 ,11548 ,5201 ,662 ,18 ,95172 ,95172 ,7204 ,8872 ,13320 ,12660 ,15668 ,17142 ,12952 ,5217 ,1955 ,177 ,5 ,96776 ,96776 ,6742 ,8439 ,12595 ,12458 ,15638 ,17747 ,13082 ,6331 ,3246 ,485 ,13 
경기도 남양주시 (4136000000),733798 ,733798 ,63527 ,78293 ,86336 ,90426 ,132228 ,122453 ,90900 ,46068 ,20519 ,2934 ,114 ,365103 ,365103 ,32641 ,40342 ,44876 ,44673 ,66249 ,62456 ,44243 ,21078 ,7842 ,682 ,21 ,368695 ,368695 ,30886 ,37951 ,41460 ,45753 ,65979 ,59997 ,46657 ,24990 ,12677 ,2252 ,93 
경기도 풍양출장소 (4136200000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경기도 오산시 (4137000000),229983 ,229983 ,21682 ,24904 ,31150 ,37349 ,43914 ,34049 ,22019 ,9954 ,4385 ,560 ,17 ,119409 ,119409 ,11092 ,12742 ,16891 ,20355 ,23409 ,17830 ,10933 ,4397 ,1640 ,118 ,2 ,110574 ,110574 ,10590 ,12162 ,14259 ,16994 ,20505 ,16219 ,11086 ,5557 ,2745 ,442 ,15 
경기도 시흥시 (4139000000),512030 ,512030 ,47577 ,50216 ,68964 ,77837 ,92511 ,90045 ,53472 ,20154 ,9691 ,1508 ,55 ,267423 ,267423 ,24171 ,25747 ,37460 ,41656 ,49973 ,47257 ,28380 ,9274 ,3200 ,296 ,9 ,244607 ,244607 ,23406 ,24469 ,31504 ,36181 ,42538 ,42788 ,25092 ,10880 ,6491 ,1212 ,46 
경기도 군포시 (4141000000),268535 ,268535 ,18634 ,25451 ,36836 ,37102 ,42586 ,47483 ,36014 ,15118 ,8014 ,1255 ,42 ,133246 ,133246 ,9527 ,13204 ,19179 ,19409 ,21056 ,23142 ,17648 ,6861 ,2871 ,338 ,11 ,135289 ,135289 ,9107 ,12247 ,17657 ,17693 ,21530 ,24341 ,18366 ,8257 ,5143 ,917 ,31 
경기도 의왕시 (4143000000),163356 ,163356 ,12631 ,14070 ,22666 ,22916 ,24033 ,29275 ,23335 ,9154 ,4484 ,773 ,19 ,81148 ,81148 ,6507 ,7240 ,11895 ,11779 ,12005 ,14029 ,11600 ,4318 ,1598 ,176 ,1 ,82208 ,82208 ,6124 ,6830 ,10771 ,11137 ,12028 ,15246 ,11735 ,4836 ,2886 ,597 ,18 
경기도 하남시 (4145000000),320087 ,320087 ,32803 ,28465 ,38289 ,53476 ,57481 ,45575 ,39037 ,17366 ,6445 ,1112 ,38 ,160163 ,160163 ,16819 ,14363 ,19192 ,26941 ,29884 ,22873 ,18878 ,8617 ,2349 ,242 ,5 ,159924 ,159924 ,15984 ,14102 ,19097 ,26535 ,27597 ,22702 ,20159 ,8749 ,4096 ,870 ,33 
경기도 용인시 (4146000000),1077508 ,1077508 ,94607 ,120420 ,137886 ,140537 ,197392 ,171534 ,114056 ,65921 ,30546 ,4463 ,146 ,534459 ,534459 ,48329 ,61632 ,71890 ,69724 ,97185 ,87064 ,54831 ,29688 ,12909 ,1185 ,22 ,543049 ,543049 ,46278 ,58788 ,65996 ,70813 ,100207 ,84470 ,59225 ,36233 ,17637 ,3278 ,124 
경기도 용인시 처인구 (4146100000),260198 ,260198 ,19959 ,24709 ,34685 ,33398 ,43521 ,44111 ,34423 ,16215 ,7913 ,1231 ,33 ,133503 ,133503 ,10220 ,12825 ,18873 ,17852 ,22884 ,22772 ,17388 ,7481 ,2944 ,258 ,6 ,126695 ,126695 ,9739 ,11884 ,15812 ,15546 ,20637 ,21339 ,17035 ,8734 ,4969 ,973 ,27 
경기도 용인시 기흥구 (4146300000),441742 ,441742 ,39745 ,50461 ,57187 ,57095 ,82407 ,69913 ,44188 ,26471 ,12415 ,1796 ,64 ,217999 ,217999 ,20367 ,25868 ,29880 ,28044 ,40204 ,35216 ,20822 ,11747 ,5331 ,509 ,11 ,223743 ,223743 ,19378 ,24593 ,27307 ,29051 ,42203 ,34697 ,23366 ,14724 ,7084 ,1287 ,53 
경기도 용인시 수지구 (4146500000),375568 ,375568 ,34903 ,45250 ,46014 ,50044 ,71464 ,57510 ,35445 ,23235 ,10218 ,1436 ,49 ,182957 ,182957 ,17742 ,22939 ,23137 ,23828 ,34097 ,29076 ,16621 ,10460 ,4634 ,418 ,5 ,192611 ,192611 ,17161 ,22311 ,22877 ,26216 ,37367 ,28434 ,18824 ,12775 ,5584 ,1018 ,44 
경기도 파주시 (4148000000),483245 ,483245 ,43432 ,50266 ,59462 ,68443 ,82974 ,77146 ,54958 ,28837 ,15420 ,2244 ,63 ,245085 ,245085 ,22142 ,25733 ,31937 ,36042 ,42536 ,40292 ,27464 ,12743 ,5627 ,555 ,14 ,238160 ,238160 ,21290 ,24533 ,27525 ,32401 ,40438 ,36854 ,27494 ,16094 ,9793 ,1689 ,49 
경기도 이천시 (4150000000),223177 ,223177 ,17883 ,22148 ,31355 ,30906 ,35058 ,35688 ,28797 ,13179 ,7132 ,1007 ,24 ,115727 ,115727 ,9237 ,11479 ,17852 ,16664 ,18184 ,18569 ,14779 ,6102 ,2613 ,244 ,4 ,107450 ,107450 ,8646 ,10669 ,13503 ,14242 ,16874 ,17119 ,14018 ,7077 ,4519 ,763 ,20 
경기도 안성시 (4155000000),189534 ,189534 ,13123 ,17717 ,23111 ,22791 ,30184 ,31990 ,27745 ,13840 ,7869 ,1132 ,32 ,97895 ,97895 ,6769 ,9199 ,12809 ,12521 ,16151 ,16965 ,14043 ,6385 ,2809 ,240 ,4 ,91639 ,91639 ,6354 ,8518 ,10302 ,10270 ,14033 ,15025 ,13702 ,7455 ,5060 ,892 ,28 
경기도 김포시 (4157000000),486508 ,486508 ,53677 ,49972 ,52405 ,75094 ,92370 ,69269 ,53848 ,26645 ,11467 ,1711 ,50 ,243415 ,243415 ,27354 ,25447 ,26969 ,36839 ,47904 ,35434 ,26188 ,12496 ,4367 ,404 ,13 ,243093 ,243093 ,26323 ,24525 ,25436 ,38255 ,44466 ,33835 ,27660 ,14149 ,7100 ,1307 ,37 
경기도 화성시 (4159000000),887015 ,887015 ,101318 ,101090 ,109069 ,151247 ,171781 ,122796 ,78498 ,33254 ,15632 ,2275 ,55 ,460788 ,460788 ,51673 ,51575 ,59249 ,79282 ,91142 ,65999 ,40130 ,15592 ,5667 ,469 ,10 ,426227 ,426227 ,49645 ,49515 ,49820 ,71965 ,80639 ,56797 ,38368 ,17662 ,9965 ,1806 ,45 
경기도 화성시동부출장소 (4159200000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경기도 화성시동탄출장소 (4159400000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경기도 광주시 (4161000000),387289 ,387289 ,33239 ,33989 ,44958 ,55722 ,68000 ,65287 ,52575 ,22867 ,9295 ,1311 ,46 ,197673 ,197673 ,17004 ,17349 ,23893 ,28954 ,35920 ,33402 ,26223 ,11051 ,3593 ,276 ,8 ,189616 ,189616 ,16235 ,16640 ,21065 ,26768 ,32080 ,31885 ,26352 ,11816 ,5702 ,1035 ,38 
경기도 양주시 (4163000000),236368 ,236368 ,19651 ,24277 ,27716 ,28102 ,39910 ,39530 ,31550 ,16551 ,7909 ,1136 ,36 ,119835 ,119835 ,10016 ,12341 ,14925 ,14517 ,20520 ,20712 ,15836 ,7737 ,2981 ,240 ,10 ,116533 ,116533 ,9635 ,11936 ,12791 ,13585 ,19390 ,18818 ,15714 ,8814 ,4928 ,896 ,26 
경기도 포천시 (4165000000),148939 ,148939 ,8110 ,11721 ,18190 ,14638 ,19751 ,29284 ,26957 ,12309 ,6920 ,1021 ,38 ,78915 ,78915 ,4165 ,6134 ,10530 ,8220 ,10619 ,16101 ,14617 ,5762 ,2501 ,255 ,11 ,70024 ,70024 ,3945 ,5587 ,7660 ,6418 ,9132 ,13183 ,12340 ,6547 ,4419 ,766 ,27 
경기도 여주시 (4167000000),112150 ,112150 ,6845 ,9405 ,11956 ,11129 ,15713 ,20087 ,20212 ,10163 ,5708 ,906 ,26 ,57022 ,57022 ,3529 ,4848 ,6537 ,5877 ,8133 ,10557 ,10277 ,4900 ,2147 ,212 ,5 ,55128 ,55128 ,3316 ,4557 ,5419 ,5252 ,7580 ,9530 ,9935 ,5263 ,3561 ,694 ,21 
경기도 연천군 (4180000000),42721 ,42721 ,2541 ,3048 ,5114 ,4099 ,4727 ,6946 ,8009 ,4823 ,2982 ,414 ,18 ,22399 ,22399 ,1290 ,1617 ,3272 ,2340 ,2576 ,3760 ,4152 ,2193 ,1087 ,106 ,6 ,20322 ,20322 ,1251 ,1431 ,1842 ,1759 ,2151 ,3186 ,3857 ,2630 ,1895 ,308 ,12 
경기도 가평군 (4182000000),62264 ,62264 ,3155 ,4458 ,6125 ,5504 ,7780 ,11107 ,13020 ,6714 ,3855 ,525 ,21 ,32129 ,32129 ,1576 ,2321 ,3565 ,3010 ,4191 ,5888 ,6730 ,3202 ,1498 ,142 ,6 ,30135 ,30135 ,1579 ,2137 ,2560 ,2494 ,3589 ,5219 ,6290 ,3512 ,2357 ,383 ,15 
경기도 양평군 (4183000000),121230 ,121230 ,7074 ,9720 ,10589 ,10701 ,16311 ,20936 ,24897 ,13200 ,6724 ,1042 ,36 ,60846 ,60846 ,3633 ,5085 ,5907 ,5431 ,8262 ,10754 ,12418 ,6506 ,2602 ,242 ,6 ,60384 ,60384 ,3441 ,4635 ,4682 ,5270 ,8049 ,10182 ,12479 ,6694 ,4122 ,800 ,30 
강원도  (4200000000),1538492 ,1538492 ,100971 ,133885 ,175424 ,162817 ,219422 ,264586 ,260158 ,132627 ,76586 ,11658 ,358 ,774332 ,774332 ,51606 ,69604 ,98744 ,85867 ,112385 ,136544 ,129786 ,59795 ,27366 ,2566 ,69 ,764160 ,764160 ,49365 ,64281 ,76680 ,76950 ,107037 ,128042 ,130372 ,72832 ,49220 ,9092 ,289 
동해출장소  (4210500000),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
강원도 춘천시 (4211000000),284594 ,284594 ,20826 ,26476 ,37437 ,34379 ,41949 ,46820 ,41669 ,20395 ,12627 ,1953 ,63 ,140584 ,140584 ,10674 ,13788 ,20039 ,17625 ,20733 ,23571 ,20132 ,8956 ,4576 ,470 ,20 ,144010 ,144010 ,10152 ,12688 ,17398 ,16754 ,21216 ,23249 ,21537 ,11439 ,8051 ,1483 ,43 
강원도 원주시 (4213000000),357757 ,357757 ,27420 ,35362 ,44938 ,45429 ,56864 ,61255 ,50069 ,21409 ,12978 ,1978 ,55 ,177396 ,177396 ,13933 ,18275 ,23959 ,23135 ,27972 ,30685 ,24863 ,9570 ,4556 ,441 ,7 ,180361 ,180361 ,13487 ,17087 ,20979 ,22294 ,28892 ,30570 ,25206 ,11839 ,8422 ,1537 ,48 
강원도 강릉시 (4215000000),212965 ,212965 ,12837 ,18449 ,24560 ,21221 ,31762 ,36670 ,35766 ,19512 ,10438 ,1698 ,52 ,105667 ,105667 ,6617 ,9692 ,13449 ,11218 ,16190 ,18543 ,17084 ,8746 ,3785 ,333 ,10 ,107298 ,107298 ,6220 ,8757 ,11111 ,10003 ,15572 ,18127 ,18682 ,10766 ,6653 ,1365 ,42 
강원도 동해시 (4217000000),90081 ,90081 ,6272 ,8535 ,9361 ,8677 ,14228 ,15731 ,14679 ,7994 ,4008 ,584 ,12 ,45795 ,45795 ,3229 ,4449 ,5520 ,4680 ,7413 ,8191 ,7096 ,3624 ,1476 ,116 ,1 ,44286 ,44286 ,3043 ,4086 ,3841 ,3997 ,6815 ,7540 ,7583 ,4370 ,2532 ,468 ,11 
강원도 태백시 (4219000000),40844 ,40844 ,2301 ,3665 ,3452 ,3296 ,6095 ,6981 ,7804 ,4789 ,2204 ,255 ,2 ,20656 ,20656 ,1218 ,1889 ,1994 ,1750 ,3244 ,3776 ,3833 ,2103 ,796 ,53 ,0 ,20188 ,20188 ,1083 ,1776 ,1458 ,1546 ,2851 ,3205 ,3971 ,2686 ,1408 ,202 ,2 
강원도 속초시 (4221000000),82791 ,82791 ,5621 ,7220 ,8958 ,9112 ,12149 ,15068 ,13878 ,6770 ,3395 ,608 ,12 ,41080 ,41080 ,2850 ,3758 ,5067 ,4919 ,6073 ,7450 ,6729 ,2932 ,1196 ,105 ,1 ,41711 ,41711 ,2771 ,3462 ,3891 ,4193 ,6076 ,7618 ,7149 ,3838 ,2199 ,503 ,11 
강원도 삼척시 (4223000000),63429 ,63429 ,3524 ,5018 ,6721 ,5210 ,8497 ,10920 ,11843 ,6992 ,4074 ,614 ,16 ,32043 ,32043 ,1795 ,2572 ,3747 ,2812 ,4635 ,5951 ,5957 ,3113 ,1332 ,129 ,0 ,31386 ,31386 ,1729 ,2446 ,2974 ,2398 ,3862 ,4969 ,5886 ,3879 ,2742 ,485 ,16 
강원도 홍천군 (4272000000),68365 ,68365 ,3535 ,4962 ,6495 ,5720 ,7973 ,12122 ,15114 ,7104 ,4657 ,661 ,22 ,35184 ,35184 ,1811 ,2503 ,3938 ,3114 ,4261 ,6436 ,7881 ,3401 ,1676 ,161 ,2 ,33181 ,33181 ,1724 ,2459 ,2557 ,2606 ,3712 ,5686 ,7233 ,3703 ,2981 ,500 ,20 
강원도 횡성군 (4273000000),46481 ,46481 ,2108 ,3441 ,3622 ,3240 ,4926 ,8502 ,11158 ,5466 ,3454 ,538 ,26 ,23859 ,23859 ,1115 ,1797 ,2085 ,1709 ,2728 ,4514 ,5832 ,2676 ,1285 ,115 ,3 ,22622 ,22622 ,993 ,1644 ,1537 ,1531 ,2198 ,3988 ,5326 ,2790 ,2169 ,423 ,23 
강원도 영월군 (4275000000),37904 ,37904 ,1549 ,2748 ,3136 ,2620 ,4322 ,7097 ,8503 ,4688 ,2858 ,370 ,13 ,19626 ,19626 ,820 ,1489 ,1818 ,1429 ,2332 ,3950 ,4506 ,2148 ,1029 ,101 ,4 ,18278 ,18278 ,729 ,1259 ,1318 ,1191 ,1990 ,3147 ,3997 ,2540 ,1829 ,269 ,9 
강원도 평창군 (4276000000),40996 ,40996 ,1715 ,2724 ,3240 ,2824 ,5053 ,7802 ,9485 ,4877 ,2877 ,382 ,17 ,21091 ,21091 ,850 ,1445 ,1920 ,1532 ,2775 ,4192 ,4961 ,2301 ,1040 ,73 ,2 ,19905 ,19905 ,865 ,1279 ,1320 ,1292 ,2278 ,3610 ,4524 ,2576 ,1837 ,309 ,15 
강원도 정선군 (4277000000),35675 ,35675 ,1628 ,2412 ,2625 ,2755 ,4626 ,6682 ,7925 ,4373 ,2312 ,327 ,10 ,18565 ,18565 ,835 ,1240 ,1532 ,1528 ,2656 ,3744 ,4195 ,1977 ,790 ,65 ,3 ,17110 ,17110 ,793 ,1172 ,1093 ,1227 ,1970 ,2938 ,3730 ,2396 ,1522 ,262 ,7 
강원도 철원군 (4278000000),43340 ,43340 ,3155 ,3629 ,5242 ,4496 ,5483 ,6929 ,7159 ,4468 ,2401 ,365 ,13 ,22453 ,22453 ,1546 ,1896 ,3389 ,2496 ,2905 ,3695 ,3563 ,1999 ,871 ,91 ,2 ,20887 ,20887 ,1609 ,1733 ,1853 ,2000 ,2578 ,3234 ,3596 ,2469 ,1530 ,274 ,11 
강원도 화천군 (4279000000),24195 ,24195 ,1709 ,1721 ,3567 ,2763 ,2608 ,3758 ,4133 ,2207 ,1491 ,228 ,10 ,13138 ,13138 ,886 ,863 ,2469 ,1643 ,1410 ,2049 ,2239 ,996 ,523 ,56 ,4 ,11057 ,11057 ,823 ,858 ,1098 ,1120 ,1198 ,1709 ,1894 ,1211 ,968 ,172 ,6 
강원도 양구군 (4280000000),21748 ,21748 ,1649 ,1929 ,2856 ,2471 ,2428 ,3407 ,3649 ,1954 ,1218 ,180 ,7 ,11464 ,11464 ,823 ,969 ,1897 ,1373 ,1310 ,1818 ,1948 ,854 ,427 ,42 ,3 ,10284 ,10284 ,826 ,960 ,959 ,1098 ,1118 ,1589 ,1701 ,1100 ,791 ,138 ,4 
강원도 인제군 (4281000000),32165 ,32165 ,2499 ,2236 ,4209 ,3981 ,3938 ,5107 ,5730 ,2589 ,1610 ,259 ,7 ,17461 ,17461 ,1265 ,1185 ,2821 ,2312 ,2193 ,2732 ,3076 ,1235 ,571 ,67 ,4 ,14704 ,14704 ,1234 ,1051 ,1388 ,1669 ,1745 ,2375 ,2654 ,1354 ,1039 ,192 ,3 
강원도 고성군 (4282000000),27249 ,27249 ,1354 ,1588 ,2678 ,2379 ,3077 ,4797 ,5651 ,3408 ,1981 ,327 ,9 ,14019 ,14019 ,686 ,858 ,1710 ,1356 ,1687 ,2593 ,2890 ,1474 ,684 ,80 ,1 ,13230 ,13230 ,668 ,730 ,968 ,1023 ,1390 ,2204 ,2761 ,1934 ,1297 ,247 ,8 
강원도 양양군 (4283000000),27913 ,27913 ,1269 ,1770 ,2327 ,2244 ,3444 ,4938 ,5943 ,3632 ,2003 ,331 ,12 ,14251 ,14251 ,653 ,936 ,1390 ,1236 ,1868 ,2654 ,3001 ,1690 ,753 ,68 ,2 ,13662 ,13662 ,616 ,834 ,937 ,1008 ,1576 ,2284 ,2942 ,1942 ,1250 ,263 ,10 
충청북도  (4300000000),1597427 ,1597427 ,116975 ,146411 ,194415 ,190607 ,237327 ,270874 ,241697 ,120068 ,69193 ,9592 ,268 ,810672 ,810672 ,59729 ,76037 ,108354 ,101877 ,122922 ,139540 ,121418 ,54663 ,24012 ,2081 ,39 ,786755 ,786755 ,57246 ,70374 ,86061 ,88730 ,114405 ,131334 ,120279 ,65405 ,45181 ,7511 ,229 
충청북도 청주시 (4311000000),848482 ,848482 ,71136 ,84739 ,118755 ,117775 ,135963 ,137868 ,105609 ,47969 ,25055 ,3517 ,96 ,427881 ,427881 ,36275 ,43888 ,64833 ,62127 ,68928 ,69055 ,51795 ,21649 ,8613 ,707 ,11 ,420601 ,420601 ,34861 ,40851 ,53922 ,55648 ,67035 ,68813 ,53814 ,26320 ,16442 ,2810 ,85 
충청북도 청주시 상당구 (4311100000),193827 ,193827 ,15904 ,19650 ,24415 ,23399 ,30482 ,33421 ,26351 ,12455 ,6752 ,972 ,26 ,96267 ,96267 ,8074 ,10160 ,13178 ,11948 ,15118 ,16635 ,13030 ,5611 ,2301 ,210 ,2 ,97560 ,97560 ,7830 ,9490 ,11237 ,11451 ,15364 ,16786 ,13321 ,6844 ,4451 ,762 ,24 
충청북도 청주시 서원구 (4311200000),192899 ,192899 ,12811 ,19409 ,28114 ,22254 ,29693 ,33740 ,27020 ,12532 ,6424 ,882 ,20 ,95958 ,95958 ,6537 ,10102 ,15267 ,11664 ,14660 ,16620 ,13055 ,5595 ,2282 ,174 ,2 ,96941 ,96941 ,6274 ,9307 ,12847 ,10590 ,15033 ,17120 ,13965 ,6937 ,4142 ,708 ,18 
충청북도 청주시 흥덕구 (4311300000),267429 ,267429 ,23434 ,26297 ,40499 ,41340 ,43211 ,42996 ,30094 ,12507 ,6154 ,877 ,20 ,135780 ,135780 ,11939 ,13593 ,22007 ,21854 ,21951 ,21557 ,14876 ,5708 ,2128 ,164 ,3 ,131649 ,131649 ,11495 ,12704 ,18492 ,19486 ,21260 ,21439 ,15218 ,6799 ,4026 ,713 ,17 
충청북도 청주시 청원구 (4311400000),194327 ,194327 ,18987 ,19383 ,25727 ,30782 ,32577 ,27711 ,22144 ,10475 ,5725 ,786 ,30 ,99876 ,99876 ,9725 ,10033 ,14381 ,16661 ,17199 ,14243 ,10834 ,4735 ,1902 ,159 ,4 ,94451 ,94451 ,9262 ,9350 ,11346 ,14121 ,15378 ,13468 ,11310 ,5740 ,3823 ,627 ,26 
충청북도 충주시 (4313000000),209358 ,209358 ,13756 ,18472 ,23613 ,22837 ,30153 ,37001 ,34440 ,17156 ,10516 ,1384 ,30 ,105932 ,105932 ,6926 ,9592 ,13617 ,12438 ,15525 ,18944 ,17236 ,7687 ,3645 ,318 ,4 ,103426 ,103426 ,6830 ,8880 ,9996 ,10399 ,14628 ,18057 ,17204 ,9469 ,6871 ,1066 ,26 
충청북도 제천시 (4315000000),131591 ,131591 ,8188 ,11339 ,14271 ,12312 ,17667 ,23490 ,24399 ,12298 ,6751 ,838 ,38 ,66170 ,66170 ,4203 ,5873 ,8006 ,6516 ,9079 ,12031 ,12194 ,5611 ,2456 ,196 ,5 ,65421 ,65421 ,3985 ,5466 ,6265 ,5796 ,8588 ,11459 ,12205 ,6687 ,4295 ,642 ,33 
충청북도 보은군 (4372000000),31878 ,31878 ,1334 ,2017 ,2247 ,2016 ,3135 ,5605 ,7353 ,4423 ,3220 ,514 ,14 ,16074 ,16074 ,691 ,1063 ,1353 ,1089 ,1746 ,3119 ,3784 ,2031 ,1080 ,118 ,0 ,15804 ,15804 ,643 ,954 ,894 ,927 ,1389 ,2486 ,3569 ,2392 ,2140 ,396 ,14 
